Index,PcEcPc,liEcPc,temperature,cond_mean,cond_min,cond_max,nearest_PcEcPc,nearest_liEcPc,nearest_liEcPc_min,nearest_liEcPc_max,nearest_conductivity,nearest_conductivity_min,nearest_conductivity_max,exact_prediction
0,0.098316619,0.87224212,-30,0.000803571,0.00056581,0.000918493,0.099454816,0.876797108,0.866704957,0.886889259,0.000814502,0.000839662,0.000789158,0.000824732
1,0.098369507,0.301443329,-30,0.001913292,0.001879416,0.001962358,0.099454816,0.30154451,0.291452359,0.31163666,0.001921337,0.001927271,0.001913223,0.001922895
2,0.098514549,0.252490738,-30,0.001866871,0.001833015,0.001912036,0.099454816,0.251083755,0.240991604,0.261175906,0.001924001,0.001914989,0.00192943,0.001926078
3,0.098538967,0.786373263,-30,0.001149002,0.000991213,0.001190313,0.099454816,0.785967751,0.7758756,0.796059901,0.001029424,0.001051395,0.001007047,0.001028222
4,0.098742297,0.274568453,-30,0.001906883,0.001880052,0.001959467,0.099454816,0.271268057,0.261175906,0.281360208,0.00193159,0.00192943,0.001930777,0.001932548
5,0.098742364,0.85447359,-30,0.00128498,0.000925613,0.0014614,0.099454816,0.856612807,0.846520656,0.866704957,0.000864583,0.000889219,0.000839662,0.000869211
6,0.098753423,0.797269059,-30,0.001151756,0.000946128,0.001250498,0.099454816,0.796059901,0.785967751,0.806152052,0.001007047,0.001029424,0.000984262,0.001004042
7,0.098821919,0.282487301,-30,0.001905772,0.00183372,0.002011111,0.099454816,0.281360208,0.271268057,0.291452359,0.001930777,0.00193159,0.001927271,0.001931341
8,0.098973291,0.290565767,-30,0.001871379,0.001842147,0.001893815,0.099454816,0.291452359,0.281360208,0.30154451,0.001927271,0.001930777,0.001921337,0.001928323
9,0.09923281,0.865168137,-30,0.001514935,0.000891362,0.001860708,0.099454816,0.866704957,0.856612807,0.876797108,0.000839662,0.000864583,0.000814502,0.000843262
10,0.10005633,0.797563723,-30,0.001271874,0.001119728,0.001325322,0.108610268,0.796059901,0.785967751,0.806152052,0.001010777,0.001032472,0.000988679,0.001003932
11,0.10013993,0.823472427,-30,0.001401985,0.001037225,0.001585983,0.099454816,0.826336354,0.816244203,0.836428505,0.000937491,0.000961073,0.000913532,0.000944649
12,0.100944341,0.83212906,-30,0.001281444,0.000977136,0.001462558,0.099454816,0.836428505,0.826336354,0.846520656,0.000913532,0.000937491,0.000889219,0.00092481
13,0.109512134,0.292150801,-30,0.001907339,0.001856671,0.00194992,0.108610268,0.291452359,0.281360208,0.30154451,0.001915406,0.001919224,0.001909193,0.001913917
14,0.110279441,0.271920445,-30,0.001898566,0.00184946,0.001939189,0.117765719,0.271268057,0.261175906,0.281360208,0.001909841,0.001908434,0.001908345,0.00191842
15,0.110478765,0.262004695,-30,0.001902005,0.001854328,0.001947659,0.117765719,0.261175906,0.251083755,0.271268057,0.001908434,0.00190383,0.001909841,0.001916737
16,0.323299518,0.280226177,-30,0.001835537,0.001814141,0.001851174,0.328341112,0.281360208,0.271268057,0.291452359,0.001772261,0.00177851,0.001763885,0.001774819
17,0.327887589,0.300625252,-30,0.001877512,0.001838416,0.001908189,0.328341112,0.30154451,0.291452359,0.31163666,0.001753631,0.001763885,0.001741735,0.0017548
18,0.330359239,0.273001711,-30,0.00181444,0.001776874,0.001853189,0.337496564,0.271268057,0.261175906,0.281360208,0.00177553,0.001779491,0.001769187,0.001776927
19,0.336842455,0.272217056,-30,0.00186569,0.001804698,0.001920853,0.337496564,0.271268057,0.261175906,0.281360208,0.00177553,0.001779491,0.001769187,0.00177524
20,0.33722314,0.301752066,-30,0.001883428,0.001855473,0.001934721,0.337496564,0.30154451,0.291452359,0.31163666,0.001750403,0.001760728,0.001738445,0.001750267
21,0.344755564,0.29358397,-30,0.001841472,0.00176386,0.001886852,0.346652016,0.291452359,0.281360208,0.30154451,0.001757711,0.001766245,0.00174732,0.001756279
22,0.346060962,0.284250375,-30,0.001826791,0.001776055,0.001892831,0.346652016,0.281360208,0.271268057,0.291452359,0.001766245,0.001772673,0.001757711,0.001764192
23,0.346792576,0.287756431,-30,0.00185964,0.001818045,0.00190766,0.355807467,0.291452359,0.281360208,0.30154451,0.001754826,0.001763428,0.001744377,0.001761019
24,0.098316619,0.87224212,-20,0.001486619,0.001117944,0.001656443,0.099454816,0.876797108,0.866704957,0.886889259,0.001568358,0.001599162,0.001537795,0.001583425
25,0.098369507,0.301443329,-20,0.002698441,0.00263156,0.002790352,0.099454816,0.30154451,0.291452359,0.31163666,0.002545912,0.002528164,0.002561754,0.002546052
26,0.098514549,0.252490738,-20,0.002608461,0.002555469,0.002674935,0.099454816,0.251083755,0.240991604,0.261175906,0.002437353,0.002409507,0.002463104,0.002441259
27,0.098538967,0.786373263,-20,0.001932165,0.001743694,0.002011565,0.099454816,0.785967751,0.7758756,0.796059901,0.001849735,0.001881009,0.001818362,0.001849348
28,0.098742297,0.274568453,-20,0.002691944,0.002651178,0.002774204,0.099454816,0.271268057,0.261175906,0.281360208,0.002486798,0.002463104,0.002508472,0.002494277
29,0.098742364,0.85447359,-20,0.002094794,0.001634243,0.002348408,0.099454816,0.856612807,0.846520656,0.866704957,0.001630169,0.00166134,0.001599162,0.001637496
30,0.098753423,0.797269059,-20,0.001966078,0.001686283,0.002111983,0.099454816,0.796059901,0.785967751,0.806152052,0.001818362,0.001849735,0.001786928,0.001815275
31,0.098821919,0.282487301,-20,0.002680915,0.0025768,0.002852828,0.099454816,0.281360208,0.271268057,0.291452359,0.002508472,0.002486798,0.002528164,0.002510929
32,0.098973291,0.290565767,-20,0.002659028,0.002612596,0.002698723,0.099454816,0.291452359,0.281360208,0.30154451,0.002528164,0.002508472,0.002545912,0.002526641
33,0.09923281,0.865168137,-20,0.002344265,0.001477814,0.002784326,0.099454816,0.866704957,0.856612807,0.876797108,0.001599162,0.001630169,0.001568358,0.001604102
34,0.10005633,0.797563723,-20,0.002145193,0.001945639,0.00226211,0.108610268,0.796059901,0.785967751,0.806152052,0.001809619,0.001841095,0.001778083,0.001813101
35,0.10013993,0.823472427,-20,0.002282159,0.001918875,0.002508598,0.099454816,0.826336354,0.816244203,0.836428505,0.00172403,0.001755472,0.00169264,0.001732268
36,0.100944341,0.83212906,-20,0.002078763,0.001680604,0.002370269,0.099454816,0.836428505,0.826336354,0.846520656,0.00169264,0.00172403,0.00166134,0.001704512
37,0.109512134,0.292150801,-20,0.002650266,0.002556525,0.002710934,0.108610268,0.291452359,0.281360208,0.30154451,0.002525731,0.002506188,0.00254333,0.002526772
38,0.110279441,0.271920445,-20,0.002665828,0.002594197,0.00275481,0.117765719,0.271268057,0.261175906,0.281360208,0.002482561,0.002459168,0.002503936,0.002485729
39,0.110478765,0.262004695,-20,0.002648979,0.002575342,0.002753646,0.117765719,0.261175906,0.251083755,0.271268057,0.002459168,0.00243372,0.002482561,0.00246273
40,0.323299518,0.280226177,-20,0.002573783,0.002534421,0.002647863,0.328341112,0.281360208,0.271268057,0.291452359,0.002459812,0.002441237,0.002476427,0.002458721
41,0.327887589,0.300625252,-20,0.002608402,0.002531689,0.002663279,0.328341112,0.30154451,0.291452359,0.31163666,0.002491122,0.002476427,0.002503933,0.002489952
42,0.330359239,0.273001711,-20,0.002485854,0.00242745,0.002540295,0.337496564,0.271268057,0.261175906,0.281360208,0.002439707,0.002419232,0.002458186,0.002444226
43,0.336842455,0.272217056,-20,0.002610302,0.002500457,0.002741413,0.337496564,0.271268057,0.261175906,0.281360208,0.002439707,0.002419232,0.002458186,0.002441638
44,0.33722314,0.301752066,-20,0.002619646,0.002571222,0.002699235,0.337496564,0.30154451,0.291452359,0.31163666,0.002489309,0.002474708,0.002502028,0.002489644
45,0.344755564,0.29358397,-20,0.002579791,0.00246605,0.00265156,0.346652016,0.291452359,0.281360208,0.30154451,0.002473011,0.002456581,0.002487522,0.002476588
46,0.346060962,0.284250375,-20,0.002553141,0.002473026,0.00267803,0.346652016,0.281360208,0.271268057,0.291452359,0.002456581,0.002438195,0.002473011,0.002461589
47,0.346792576,0.287756431,-20,0.002642263,0.002565818,0.002763866,0.355807467,0.291452359,0.281360208,0.30154451,0.002471338,0.002454997,0.00248576,0.002467194
48,0.098316619,0.87224212,-10,0.002386625,0.001865888,0.002616706,0.099454816,0.876797108,0.866704957,0.886889259,0.00243975,0.002479058,0.002400551,0.00245826
49,0.098369507,0.301443329,-10,0.003597504,0.003501182,0.003728939,0.099454816,0.30154451,0.291452359,0.31163666,0.003423144,0.003392021,0.003451735,0.00342243
50,0.098514549,0.252490738,-10,0.003436626,0.003361822,0.003525248,0.099454816,0.251083755,0.240991604,0.261175906,0.003241271,0.003196787,0.00328299,0.003246788
51,0.098538967,0.786373263,-10,0.00294161,0.002738259,0.003053012,0.099454816,0.785967751,0.7758756,0.796059901,0.002791854,0.002830051,0.002753349,0.002790816
52,0.098742297,0.274568453,-10,0.003573649,0.003508924,0.003703825,0.099454816,0.271268057,0.261175906,0.281360208,0.00332199,0.00328299,0.003358319,0.003333847
53,0.098742364,0.85447359,-10,0.003066651,0.002534752,0.003407806,0.099454816,0.856612807,0.846520656,0.866704957,0.002518428,0.002557813,0.002479058,0.002527245
54,0.098753423,0.797269059,-10,0.002974263,0.002624987,0.003169331,0.099454816,0.796059901,0.785967751,0.806152052,0.002753349,0.002791854,0.002714582,0.002749116
55,0.098821919,0.282487301,-10,0.003572367,0.003420511,0.003896464,0.099454816,0.281360208,0.271268057,0.291452359,0.003358319,0.00332199,0.003392021,0.003361943
56,0.098973291,0.290565767,-10,0.003523917,0.00345378,0.003579805,0.099454816,0.291452359,0.281360208,0.30154451,0.003392021,0.003358319,0.003423144,0.003388969
57,0.09923281,0.865168137,-10,0.003205958,0.002227283,0.003847999,0.099454816,0.866704957,0.856612807,0.876797108,0.002479058,0.002518428,0.00243975,0.0024852
58,0.10005633,0.797563723,-10,0.003228684,0.002970777,0.003446892,0.108610268,0.796059901,0.785967751,0.806152052,0.002748091,0.002786744,0.002709177,0.002747246
59,0.10013993,0.823472427,-10,0.003289224,0.002883007,0.003494226,0.099454816,0.826336354,0.816244203,0.836428505,0.002636444,0.002675598,0.002597167,0.002647151
60,0.100944341,0.83212906,-10,0.003070317,0.00260068,0.00345936,0.099454816,0.836428505,0.826336354,0.846520656,0.002597167,0.002636444,0.002557813,0.002612981
61,0.109512134,0.292150801,-10,0.003489217,0.003325606,0.003579285,0.108610268,0.291452359,0.281360208,0.30154451,0.003395558,0.00336206,0.003426477,0.003398111
62,0.110279441,0.271920445,-10,0.003524703,0.003410229,0.003685249,0.117765719,0.271268057,0.261175906,0.281360208,0.003329576,0.003290986,0.003365495,0.003329037
63,0.110478765,0.262004695,-10,0.00350391,0.003382506,0.003691947,0.117765719,0.261175906,0.251083755,0.271268057,0.003290986,0.00324968,0.003329576,0.003291238
64,0.323299518,0.280226177,-10,0.003389379,0.003328621,0.003534066,0.328341112,0.281360208,0.271268057,0.291452359,0.003373872,0.003341727,0.00340342,0.00337147
65,0.327887589,0.300625252,-10,0.003425245,0.003306005,0.00351975,0.328341112,0.30154451,0.291452359,0.31163666,0.003430416,0.00340342,0.003454908,0.003428173
66,0.330359239,0.273001711,-10,0.003235966,0.003152043,0.003324242,0.337496564,0.271268057,0.261175906,0.281360208,0.003339754,0.003305092,0.003371774,0.00334701
67,0.336842455,0.272217056,-10,0.003474727,0.003278814,0.003823271,0.337496564,0.271268057,0.261175906,0.281360208,0.003339754,0.003305092,0.003371774,0.003343024
68,0.33722314,0.301752066,-10,0.003444256,0.003375,0.003555738,0.337496564,0.30154451,0.291452359,0.31163666,0.003428071,0.003401197,0.00345244,0.003428669
69,0.344755564,0.29358397,-10,0.003394998,0.003242202,0.003490467,0.346652016,0.291452359,0.281360208,0.30154451,0.003398823,0.003369521,0.003425577,0.003405194
70,0.346060962,0.284250375,-10,0.003354617,0.003235336,0.00353917,0.346652016,0.281360208,0.271268057,0.291452359,0.003369521,0.003337623,0.003398823,0.003378328
71,0.346792576,0.287756431,-10,0.003507101,0.003373197,0.003715132,0.355807467,0.291452359,0.281360208,0.30154451,0.003396304,0.003367119,0.003422941,0.003388353
72,0.098316619,0.87224212,0,0.003440502,0.002767113,0.003740266,0.099454816,0.876797108,0.866704957,0.886889259,0.003450779,0.00349553,0.003404427,0.003467516
73,0.098369507,0.301443329,0,0.004552996,0.004417007,0.004731765,0.099454816,0.30154451,0.291452359,0.31163666,0.004489248,0.004452848,0.004520569,0.00448554
74,0.098514549,0.252490738,0,0.004298291,0.004203108,0.004418209,0.099454816,0.251083755,0.240991604,0.261175906,0.004249589,0.004182556,0.004309765,0.004254691
75,0.098538967,0.786373263,0,0.004087143,0.003890445,0.004234391,0.099454816,0.785967751,0.7758756,0.796059901,0.00380664,0.003840653,0.00377167,0.003803978
76,0.098742297,0.274568453,0,0.004490096,0.004382631,0.00467169,0.099454816,0.271268057,0.261175906,0.281360208,0.004363458,0.004309765,0.004411033,0.004377144
77,0.098742364,0.85447359,0,0.004140065,0.003563954,0.004560773,0.099454816,0.856612807,0.846520656,0.866704957,0.003538789,0.003580652,0.00349553,0.003545829
78,0.098753423,0.797269059,0,0.004111864,0.003706639,0.004350218,0.099454816,0.796059901,0.785967751,0.806152052,0.00377167,0.00380664,0.003735693,0.003766316
79,0.098821919,0.282487301,0,0.004539764,0.004293727,0.005244152,0.099454816,0.281360208,0.271268057,0.291452359,0.004411033,0.004363458,0.004452848,0.004413822
80,0.098973291,0.290565767,0,0.004421684,0.004323122,0.004500297,0.099454816,0.291452359,0.281360208,0.30154451,0.004452848,0.004411033,0.004489248,0.004447818
81,0.09923281,0.865168137,0,0.004371204,0.003093049,0.004981808,0.099454816,0.866704957,0.856612807,0.876797108,0.00349553,0.003538789,0.003450779,0.003501546
82,0.10005633,0.797563723,0,0.004428458,0.004121861,0.004784161,0.108610268,0.796059901,0.785967751,0.806152052,0.003784559,0.003818143,0.003750076,0.003767306
83,0.10013993,0.823472427,0,0.004372015,0.003954308,0.004585248,0.099454816,0.826336354,0.816244203,0.836428505,0.003660517,0.003698661,0.003621203,0.003672841
84,0.100944341,0.83212906,0,0.004227108,0.003679953,0.004677854,0.099454816,0.836428505,0.826336354,0.846520656,0.003621203,0.003660517,0.003580652,0.003641348
85,0.109512134,0.292150801,0,0.004378846,0.004175757,0.004486116,0.108610268,0.291452359,0.281360208,0.30154451,0.004481885,0.004441589,0.004516781,0.004487234
86,0.110279441,0.271920445,0,0.00442368,0.00425774,0.004672795,0.117765719,0.271268057,0.261175906,0.281360208,0.004425948,0.004375293,0.004470504,0.004404354
87,0.110478765,0.262004695,0,0.004390732,0.004233657,0.004695766,0.117765719,0.261175906,0.251083755,0.271268057,0.004375293,0.004318168,0.004425948,0.004354542
88,0.323299518,0.280226177,0,0.004257793,0.004163085,0.00448938,0.328341112,0.281360208,0.271268057,0.291452359,0.004698669,0.004675932,0.004715757,0.004699439
89,0.327887589,0.300625252,0,0.004272072,0.00410827,0.00440605,0.328341112,0.30154451,0.291452359,0.31163666,0.004727609,0.004715757,0.004734629,0.004727068
90,0.330359239,0.273001711,0,0.004000875,0.003887948,0.004129364,0.337496564,0.271268057,0.261175906,0.281360208,0.004670017,0.004641638,0.004692312,0.004679026
91,0.336842455,0.272217056,0,0.004327637,0.004098303,0.004659086,0.337496564,0.271268057,0.261175906,0.281360208,0.004670017,0.004641638,0.004692312,0.004672825
92,0.33722314,0.301752066,0,0.004311023,0.004207269,0.004456327,0.337496564,0.30154451,0.291452359,0.31163666,0.004720361,0.004708954,0.004726937,0.004720773
93,0.344755564,0.29358397,0,0.00427554,0.004078387,0.004397721,0.346652016,0.291452359,0.281360208,0.30154451,0.00470122,0.004684987,0.004712216,0.004705658
94,0.346060962,0.284250375,0,0.004181594,0.004020085,0.004417473,0.346652016,0.281360208,0.271268057,0.291452359,0.004684987,0.004663096,0.00470122,0.004690703
95,0.346792576,0.287756431,0,0.004432043,0.004216867,0.004739838,0.355807467,0.291452359,0.281360208,0.30154451,0.004692616,0.004676756,0.004703238,0.004695781
96,0.098316619,0.87224212,10,0.004699232,0.003888824,0.005086253,0.099454816,0.876797108,0.866704957,0.886889259,0.004383512,0.004447345,0.004321048,0.004397226
97,0.098369507,0.301443329,10,0.005564,0.005388005,0.005791869,0.099454816,0.30154451,0.291452359,0.31163666,0.005546246,0.005493305,0.005593699,0.005554576
98,0.098514549,0.252490738,10,0.005192742,0.005057663,0.005358384,0.099454816,0.251083755,0.240991604,0.261175906,0.005215064,0.005125792,0.005295816,0.005232487
99,0.098538967,0.786373263,10,0.005386161,0.005221686,0.005590345,0.099454816,0.785967751,0.7758756,0.796059901,0.004985766,0.005052571,0.004918157,0.004977286
100,0.098742297,0.274568453,10,0.005482182,0.005339355,0.005725283,0.099454816,0.271268057,0.261175906,0.281360208,0.00536869,0.005295816,0.005434316,0.005395895
101,0.098742364,0.85447359,10,0.005412084,0.004794309,0.005907895,0.099454816,0.856612807,0.846520656,0.866704957,0.004512446,0.004578659,0.004447345,0.004518132
102,0.098753423,0.797269059,10,0.005483677,0.005271804,0.005698761,0.099454816,0.796059901,0.785967751,0.806152052,0.004918157,0.004985766,0.004850051,0.004905029
103,0.098821919,0.282487301,10,0.005510626,0.005236288,0.006154288,0.099454816,0.281360208,0.271268057,0.291452359,0.005434316,0.00536869,0.005493305,0.005445847
104,0.098973291,0.290565767,10,0.005370217,0.005263958,0.005433431,0.099454816,0.291452359,0.281360208,0.30154451,0.005493305,0.005434316,0.005546246,0.005492041
105,0.09923281,0.865168137,10,0.005579687,0.0042025,0.006268033,0.099454816,0.866704957,0.856612807,0.876797108,0.004447345,0.004512446,0.004383512,0.004454425
106,0.10005633,0.797563723,10,0.005826203,0.005480187,0.00636387,0.108610268,0.796059901,0.785967751,0.806152052,0.004975569,0.005036866,0.004913845,0.004912262
107,0.10013993,0.823472427,10,0.005728712,0.00521798,0.005872012,0.099454816,0.826336354,0.816244203,0.836428505,0.004713568,0.004781755,0.00464578,0.004739049
108,0.100944341,0.83212906,10,0.005561091,0.004958788,0.006089836,0.099454816,0.836428505,0.826336354,0.846520656,0.00464578,0.004713568,0.004578659,0.004688857
109,0.109512134,0.292150801,10,0.005331188,0.005093265,0.005456692,0.108610268,0.291452359,0.281360208,0.30154451,0.005437163,0.005382124,0.005486342,0.005436544
110,0.110279441,0.271920445,10,0.005373457,0.005141418,0.005738851,0.117765719,0.271268057,0.261175906,0.281360208,0.005296936,0.005232794,0.005354106,0.005318722
111,0.110478765,0.262004695,10,0.005339278,0.005129505,0.00577704,0.117765719,0.261175906,0.251083755,0.271268057,0.005232794,0.005161002,0.005296936,0.005252054
112,0.323299518,0.280226177,10,0.005212936,0.005069503,0.00554976,0.328341112,0.281360208,0.271268057,0.291452359,0.006236205,0.006247646,0.006218846,0.00623678
113,0.327887589,0.300625252,10,0.005193306,0.004991062,0.005372093,0.328341112,0.30154451,0.291452359,0.31163666,0.006196556,0.006218846,0.006170257,0.006198778
114,0.330359239,0.273001711,10,0.004855305,0.004709488,0.005022885,0.337496564,0.271268057,0.261175906,0.281360208,0.006245287,0.006249862,0.006233688,0.006246112
115,0.336842455,0.272217056,10,0.005305715,0.005007081,0.005770931,0.337496564,0.271268057,0.261175906,0.281360208,0.006245287,0.006249862,0.006233688,0.006244836
116,0.33722314,0.301752066,10,0.00527954,0.005137096,0.00545732,0.337496564,0.30154451,0.291452359,0.31163666,0.006193589,0.006216122,0.006167021,0.006193242
117,0.344755564,0.29358397,10,0.005217686,0.004988003,0.005358643,0.346652016,0.291452359,0.281360208,0.30154451,0.006208236,0.006225798,0.006185669,0.006205895
118,0.346060962,0.284250375,10,0.005100952,0.00490029,0.005403086,0.346652016,0.281360208,0.271268057,0.291452359,0.006225798,0.006237345,0.006208236,0.006222001
